age,job,marital,education,device,day,month,time_spent,banner_views,banner_views_old,days_elapsed_old,outcome_old,X1,X2,X3,X4,y
51,teacher,single,grad_school,desktop,28,1,47.9,2,0,-1,na,0,0,0,0.07638044050623717,1
28,freelance,single,university,smartphone,23,7,30.65,3,0,-1,na,1,0,0,0.10694895865487626,0
36,salesman,single,na,na,16,5,25.25,1,0,-1,na,0,0,1,0.07535452944273964,1
25,technology,single,university,smartphone,28,5,8.9,3,1,10,failure,0,0,1,0.1372905053292902,1
45,teacher,single,university,na,9,5,6.05,1,0,-1,na,0,0,1,0.07200443048317687,0
48,salesman,divorced,university,smartphone,12,5,52.6,3,3,349,other,0,0,1,0.06952590198463857,1
35,technology,married,university,smartphone,19,11,31.7,4,0,-1,na,0,0,1,0.07280337007244929,1
30,manager,single,grad_school,na,8,5,12.25,1,0,-1,na,0,0,1,0.12687705409184175,0
58,industrial_worker,married,university,smartphone,13,5,6.15,1,6,274,failure,0,0,1,0.12731283932235396,0
54,freelance,single,grad_school,smartphone,27,5,9.5,1,0,-1,na,1,0,0,0.07628965191654713,1
43,industrial_worker,married,university,smartphone,12,8,11.25,2,4,182,success,0,0,1,0.07655293882664826,1
45,manager,married,grad_school,na,14,5,7.85,1,0,-1,na,0,0,1,0.4121529606159098,0
39,teacher,single,university,smartphone,5,5,26.6,4,11,47,other,0,0,1,0.07990303778621102,0
34,freelance,single,grad_school,smartphone,20,8,23.2,1,0,-1,na,0,0,0,0.16324696312167486,1
36,manager,divorced,grad_school,smartphone,11,5,6.65,4,0,-1,na,0,0,1,0.08009369382456014,0
55,technology,married,grad_school,smartphone,15,5,44.55,1,0,-1,na,0,0,1,0.06857262179289307,1
63,retired,married,university,smartphone,25,1,20.65,1,0,-1,na,0,0,0,0.07710674922375756,1
54,technology,married,university,smartphone,16,4,14.45,2,0,-1,na,1,0,0,0.10906433279465437,1
53,unemployed,married,university,na,8,5,4.3,2,0,-1,na,0,0,1,0.07808726599241007,0
36,industrial_worker,married,university,smartphone,12,5,7.85,2,2,350,failure,0,0,1,0.07112378116318341,0
34,teacher,divorced,university,na,12,5,5.25,4,0,-1,na,1,0,1,0.07080602109926824,0
44,manager,married,university,na,20,6,0.65,7,0,-1,na,0,0,1,0.19131879505383764,0
43,manager,single,grad_school,na,9,6,44.55,1,0,-1,na,0,0,0,0.08229985655402829,1
27,industrial_worker,single,university,smartphone,15,5,6.55,1,3,343,failure,0,0,1,0.08133749750331379,0
41,manager,married,grad_school,smartphone,7,8,8.6,2,1,99,failure,0,0,0,0.09301291013745393,1
41,industrial_worker,single,university,smartphone,14,5,1.25,1,10,356,other,1,0,0,0.08987162493417827,0
37,teacher,divorced,university,na,2,6,24.95,2,0,-1,na,0,0,1,0.0789134421585895,0
76,retired,divorced,high_school,smartphone,21,10,4.85,2,0,-1,na,0,0,0,0.09725273727597915,1
77,retired,married,grad_school,smartphone,17,8,13.8,1,0,-1,na,0,0,0,0.07280337007244929,1
32,industrial_worker,married,university,na,3,6,9.5,1,0,-1,na,0,0,1,0.07714306465963358,0
56,na,married,na,desktop,29,7,10.75,4,0,-1,na,0,0,0,0.08217275252846222,0
54,salesman,married,na,smartphone,5,2,33.8,2,1,267,other,0,0,1,0.07280337007244929,1
58,manager,married,university,smartphone,10,2,6.25,2,5,92,success,1,0,0,0.09236831115065458,1
31,freelance,single,grad_school,na,20,5,2.9,1,0,-1,na,0,0,1,0.08932689339603798,0
71,retired,married,high_school,desktop,17,4,6,1,0,-1,na,0,0,0,0.09993100067183557,1
57,manager,married,grad_school,smartphone,1,6,14.25,1,0,-1,na,0,0,0,0.07709767036478855,1
46,industrial_worker,married,high_school,smartphone,8,5,18.95,1,0,-1,na,0,0,1,0.15526664608791968,0
31,industrial_worker,married,university,smartphone,13,4,54.05,2,0,-1,na,1,0,1,0.08556824578287,1
50,salesman,single,university,smartphone,7,4,13.1,1,0,-1,na,0,0,1,0.08838269206326149,0
43,technology,married,grad_school,smartphone,22,8,3.4,2,0,-1,na,0,0,0,0.07280337007244929,0
39,industrial_worker,married,university,smartphone,15,4,68.1,4,0,-1,na,0,0,1,0.0714869355219436,0
47,industrial_worker,married,high_school,desktop,15,5,1.95,3,0,-1,na,0,0,1,0.07767871733880485,0
36,industrial_worker,married,university,smartphone,17,11,11.05,1,0,-1,na,1,0,0,0.08544114175730394,0
47,teacher,married,university,smartphone,18,7,3.05,3,0,-1,na,1,0,0,0.07303942040564342,0
35,technology,married,university,smartphone,18,7,18.35,1,0,-1,na,0,0,1,0.07746082472354875,0
24,student,single,university,smartphone,5,4,44.85,4,7,185,failure,0,0,0,0.110262742178563,1
47,manager,divorced,university,na,13,5,13.7,2,0,-1,na,1,0,1,0.10318123218273928,0
27,industrial_worker,divorced,university,desktop,13,5,17.65,1,3,359,failure,0,0,1,0.07280337007244929,0
27,freelance,divorced,university,smartphone,6,2,57.5,2,4,192,failure,0,0,1,0.07430138180233509,0
84,retired,married,grad_school,desktop,9,9,69.75,1,3,92,failure,0,0,0,0.11602781762388104,1
30,freelance,married,grad_school,smartphone,5,8,23.25,2,4,93,success,0,0,0,0.09700760808381603,1
38,industrial_worker,single,grad_school,smartphone,1,4,58.3,1,0,-1,na,0,0,1,0.07436493381511812,1
75,retired,divorced,grad_school,smartphone,16,11,12.6,1,1,183,failure,0,0,1,0.10739382274435749,1
48,industrial_worker,married,university,smartphone,19,8,29.85,7,0,-1,na,0,0,0,0.09290396382982587,0
30,manager,single,grad_school,smartphone,26,5,8.1,2,1,105,other,0,0,0,0.08131933978537577,0
41,teacher,single,na,smartphone,11,5,21.6,1,3,370,failure,0,0,1,0.0766074119804623,0
38,technology,married,university,smartphone,22,4,15.25,1,0,-1,na,0,0,1,0.07280337007244929,1
35,freelance,single,university,smartphone,17,11,50.1,1,0,-1,na,0,0,1,0.07906778276106259,0
31,salesman,married,university,smartphone,6,5,10.45,1,0,-1,na,1,0,1,0.08899097561418481,0
44,industrial_worker,married,high_school,na,26,5,8.55,3,0,-1,na,1,0,1,0.06786447079331069,0
28,manager,married,grad_school,smartphone,9,9,9.6,1,0,-1,na,0,0,1,0.07291231638007735,1
22,student,single,university,na,2,7,2.65,4,0,-1,na,0,0,1,0.07534545058377064,0
35,manager,single,grad_school,smartphone,30,4,33.85,1,3,9,success,0,0,1,0.08869137326820765,1
34,technology,married,university,smartphone,7,8,26.2,2,0,-1,na,0,0,0,0.14077678717338804,0
53,technology,divorced,grad_school,smartphone,17,11,44,1,0,-1,na,0,0,0,0.09303106785539193,1
32,industrial_worker,married,high_school,smartphone,18,5,8.95,1,0,-1,na,1,0,1,0.07523650427614258,0
54,manager,single,grad_school,smartphone,12,8,6.45,2,0,-1,na,0,0,1,0.09476512991847184,0
30,industrial_worker,single,high_school,smartphone,5,2,6.05,1,1,265,failure,0,0,1,0.0737566502641948,0
30,manager,single,grad_school,smartphone,3,6,11.4,3,0,-1,na,0,0,0,0.10312675902892525,1
42,technology,married,university,na,28,5,16.7,2,0,-1,na,0,0,1,0.07797831968478201,0
47,teacher,married,university,smartphone,14,5,10.75,1,1,364,failure,1,0,0,0.09036188331850453,0
57,manager,married,high_school,na,19,5,22.25,1,0,-1,na,0,0,0,0.07280337007244929,0
63,retired,divorced,high_school,smartphone,10,11,19.8,2,0,-1,na,0,0,0,0.07379296570007081,1
32,unemployed,married,high_school,na,26,5,5.4,4,0,-1,na,0,0,1,0.16262960071178253,0
39,teacher,divorced,university,smartphone,16,9,28.2,3,0,-1,na,0,0,0,0.07382020227697783,1
40,salesman,single,university,smartphone,20,11,19.75,1,0,-1,na,0,0,1,0.08684836489749968,1
50,industrial_worker,married,high_school,na,2,6,6.2,8,0,-1,na,0,0,1,0.07310297241842645,0
59,retired,divorced,high_school,na,5,5,4.85,1,0,-1,na,0,0,1,0.07353875764893868,0
31,industrial_worker,single,university,smartphone,20,11,8.65,2,1,184,failure,0,0,0,0.12370853231165907,0
27,student,married,university,smartphone,16,7,38.55,2,0,-1,na,0,0,1,0.07388375428976086,1
39,freelance,married,grad_school,na,15,5,7.3,13,0,-1,na,0,0,1,0.07120549089390446,0
41,manager,married,grad_school,smartphone,9,7,2.25,1,0,-1,na,1,0,0,0.07280337007244929,0
31,freelance,single,grad_school,smartphone,14,5,36.75,1,3,174,failure,0,0,1,0.2355328382328909,1
34,industrial_worker,married,high_school,na,23,5,4.5,4,0,-1,na,0,0,1,0.076053601583353,0
39,entrepreneur,married,grad_school,smartphone,15,5,27.6,2,0,-1,na,0,1,1,0.07124180632978047,1
38,technology,single,university,smartphone,4,6,4.3,2,1,98,success,0,0,0,0.0830624807074247,1
43,technology,married,university,smartphone,18,11,1.05,1,0,-1,na,0,0,1,0.2330906251702286,0
27,technology,single,university,smartphone,7,5,11.75,1,0,-1,na,1,0,1,0.08101973743939862,0
30,technology,married,university,smartphone,6,5,0.45,1,0,-1,na,0,0,1,0.07839594719735624,0
34,teacher,married,university,smartphone,15,5,3.4,2,0,-1,na,0,0,1,0.07280337007244929,0
48,industrial_worker,married,high_school,na,9,5,4.6,3,0,-1,na,0,0,1,0.07659833312149329,0
43,manager,married,grad_school,smartphone,14,5,12.2,11,0,-1,na,0,0,1,0.08834637662738547,0
35,salesman,married,university,na,2,6,4.5,4,0,-1,na,1,0,1,0.07694332976231547,0
40,teacher,married,university,na,28,5,6.65,2,0,-1,na,0,1,1,0.07027036842009696,0
54,retired,married,high_school,smartphone,18,8,1.9,10,0,-1,na,1,0,1,0.07290323752110835,0
29,freelance,married,university,smartphone,22,10,11.85,1,3,184,success,1,0,0,0.07392006972563689,1
50,technology,divorced,university,smartphone,18,11,17.7,2,0,-1,na,1,0,0,0.09922284967225319,0
33,manager,married,grad_school,smartphone,25,8,5.55,8,0,-1,na,0,0,0,0.07398362173841992,0
44,industrial_worker,married,university,smartphone,14,7,8.15,6,0,-1,na,0,0,0,0.07712490694169556,0
41,industrial_worker,married,high_school,smartphone,20,11,30.05,3,0,-1,na,0,0,1,0.10733027073157446,0
57,technology,single,university,na,14,5,7.8,3,0,-1,na,0,0,1,0.12692244838668676,0
57,technology,married,high_school,desktop,2,6,20.55,2,0,-1,na,0,0,1,0.10345359795180942,1
36,manager,single,grad_school,smartphone,3,11,27.8,1,7,182,failure,0,0,1,0.0733662593285276,1
45,teacher,married,university,smartphone,18,11,4.9,5,0,-1,na,0,0,1,0.07280337007244929,0
44,technology,divorced,university,smartphone,7,7,41.25,4,0,-1,na,0,0,1,0.07280337007244929,0
38,teacher,married,university,smartphone,4,2,16.05,2,0,-1,na,0,0,1,0.07824160659488316,0
29,housekeeper,married,high_school,smartphone,23,7,4.9,2,0,-1,na,0,0,0,0.07658925426252429,0
39,technology,married,university,smartphone,14,5,3.7,4,4,352,other,0,0,1,0.07401085831532693,0
30,teacher,single,university,smartphone,30,4,21.35,1,1,80,success,0,0,0,0.07525466199408058,1
46,salesman,divorced,university,smartphone,19,11,15.2,3,0,-1,na,0,0,0,0.07293955295698437,0
42,housekeeper,married,high_school,na,11,6,3.45,1,0,-1,na,0,1,0,0.07294863181595337,0
30,industrial_worker,married,university,smartphone,18,11,8.95,1,5,144,failure,1,0,1,0.0830715595663937,0
54,freelance,divorced,grad_school,na,6,6,0.9,6,0,-1,na,0,0,0,0.10868302071795617,0
34,industrial_worker,single,university,smartphone,20,11,33,1,0,-1,na,1,0,1,0.10043033791513083,1
55,teacher,married,university,smartphone,1,6,9.55,1,0,-1,na,0,0,0,0.14819421495106494,1
34,salesman,single,university,na,30,6,22,2,0,-1,na,1,0,0,0.07340257476440361,0
31,industrial_worker,married,university,smartphone,5,6,7.8,2,0,-1,na,1,0,0,0.08883663501171173,1
54,housekeeper,single,university,smartphone,12,11,11.55,1,0,-1,na,0,0,0,0.08381602600185209,1
33,technology,married,university,smartphone,13,8,3.4,2,0,-1,na,0,0,0,0.07280337007244929,0
62,retired,married,university,smartphone,4,8,12.45,1,1,35,failure,0,0,0,0.10312675902892525,0
51,manager,married,grad_school,smartphone,18,11,5.5,2,2,187,failure,0,0,1,0.06811867884444284,0
29,technology,married,grad_school,smartphone,21,7,9.65,2,0,-1,na,0,0,0,0.07267626604688322,0
46,industrial_worker,married,university,smartphone,28,7,19.7,3,0,-1,na,0,0,1,0.07084233653514427,0
58,technology,married,na,na,3,6,24.35,2,0,-1,na,0,0,1,0.07094220398380331,0
34,salesman,divorced,university,smartphone,18,11,5,2,0,-1,na,1,0,0,0.0737748079821328,0
29,manager,married,grad_school,na,28,5,46.4,2,0,-1,na,0,0,0,0.0756541317887168,1
33,industrial_worker,married,university,smartphone,4,2,6.8,3,0,-1,na,0,0,0,0.0756632106476858,1
32,industrial_worker,married,university,smartphone,8,5,3.5,2,0,-1,na,0,0,1,0.07280337007244929,0
41,manager,divorced,na,smartphone,22,7,74.9,1,0,-1,na,0,0,1,0.07702503949303652,1
33,teacher,single,university,smartphone,14,7,20.75,3,0,-1,na,0,0,0,0.07180469558585877,0
35,industrial_worker,single,grad_school,smartphone,14,10,7.8,2,0,-1,na,0,0,0,0.08941768198572804,0
34,industrial_worker,married,university,smartphone,28,7,5.65,3,0,-1,na,1,0,1,0.08807401085831533,0
58,retired,married,high_school,desktop,14,7,8.75,4,0,-1,na,0,0,0,0.09084306284386179,0
55,technology,married,high_school,na,19,6,2.5,1,0,-1,na,1,0,0,0.07463729958418826,0
22,freelance,single,grad_school,smartphone,17,3,13.1,3,0,-1,na,0,0,0,0.07988488006827302,1
59,retired,married,high_school,smartphone,19,11,9.2,2,2,152,failure,0,0,0,0.07953080456848183,0
46,technology,divorced,grad_school,smartphone,28,1,59.45,2,0,-1,na,0,0,0,0.07280337007244929,1
36,manager,married,grad_school,na,9,6,4.05,1,0,-1,na,0,0,0,0.07887712672271349,0
61,retired,married,high_school,na,13,5,5.4,1,0,-1,na,0,0,1,0.08242696057959435,0
42,unemployed,married,university,smartphone,7,5,38.85,3,2,356,failure,0,0,1,0.076035443865415,1
59,manager,married,grad_school,smartphone,21,11,5.7,1,0,-1,na,1,0,1,0.07517295226335954,0
33,freelance,married,grad_school,smartphone,6,10,31.95,1,0,-1,na,0,0,0,0.08440615183483739,1
44,industrial_worker,married,university,na,7,5,13.55,2,0,-1,na,0,0,1,0.0728124489314183,0
43,manager,married,grad_school,smartphone,20,8,23.1,2,0,-1,na,1,0,0,0.07282152779038731,0
38,industrial_worker,single,na,smartphone,28,7,6.95,11,0,-1,na,0,0,1,0.06433279465436784,0
53,teacher,married,university,smartphone,5,4,27.4,1,0,-1,na,0,0,0,0.07697056633922249,1
51,retired,married,university,na,5,5,8.1,1,0,-1,na,0,0,1,0.09211410309952245,0
34,industrial_worker,single,university,na,5,5,16.8,1,0,-1,na,1,0,1,0.07328454959780654,0
33,technology,married,university,na,26,5,9,2,0,-1,na,0,0,1,0.07366586167450474,0
33,manager,married,university,na,13,5,11.85,3,0,-1,na,0,0,1,0.07266718718791422,0
51,industrial_worker,married,university,smartphone,7,4,44.25,1,0,-1,na,0,0,1,0.11626386795707515,1
41,manager,married,grad_school,smartphone,14,8,2,5,0,-1,na,0,0,0,0.083643527681441,0
26,manager,single,grad_school,smartphone,1,6,9,1,1,84,failure,0,0,1,0.08436983639896138,0
26,manager,single,grad_school,na,30,5,10.9,2,0,-1,na,0,0,1,0.08191854447733009,1
49,manager,married,grad_school,smartphone,2,3,5.5,3,0,-1,na,0,0,0,0.09895956276215205,1
45,industrial_worker,married,university,na,23,5,9.9,1,0,-1,na,1,0,1,0.07335718046955858,0
51,entrepreneur,married,na,na,28,5,27.5,9,0,-1,na,0,0,1,0.0783051586076662,1
38,technology,married,grad_school,desktop,27,8,1.45,9,0,-1,na,0,0,0,0.07326639187986854,0
30,entrepreneur,married,high_school,smartphone,17,4,18.7,2,0,-1,na,0,0,1,0.07729740526210666,0
32,salesman,single,university,smartphone,20,4,0.1,3,0,-1,na,0,0,1,0.07323915530296152,0
35,industrial_worker,married,university,smartphone,13,5,12.85,1,0,-1,na,0,0,0,0.07847765692807727,0
41,industrial_worker,married,high_school,na,15,5,52.1,1,0,-1,na,0,0,1,0.095073811123418,1
26,student,single,grad_school,na,23,5,3.55,1,0,-1,na,0,0,1,0.08705717865378679,0
50,teacher,married,university,smartphone,5,8,35.5,2,0,-1,na,0,0,0,0.11688123036696747,1
58,retired,married,university,smartphone,2,2,1.55,1,0,-1,na,0,0,0,0.07457374757140522,0
32,technology,single,university,smartphone,14,8,93.05,3,0,-1,na,0,0,1,0.08852795380676556,1
55,retired,divorced,university,desktop,11,12,8.15,1,0,-1,na,0,0,0,0.07612623245510504,0
61,retired,married,university,smartphone,6,8,22.25,4,0,-1,na,0,0,0,0.07350244221306267,1
75,retired,married,high_school,desktop,14,9,39.9,1,4,187,failure,0,0,0,0.08882755615274272,1
48,industrial_worker,single,high_school,smartphone,15,5,2.2,5,0,-1,na,0,0,1,0.07501861166088646,0
33,industrial_worker,married,university,na,29,7,16.05,1,0,-1,na,0,0,1,0.07280337007244929,0
49,technology,married,university,na,5,6,20.1,2,0,-1,na,0,0,1,0.07779674250540192,0
34,manager,married,grad_school,smartphone,28,8,4.65,12,0,-1,na,0,0,0,0.091251611497467,0
46,entrepreneur,married,grad_school,smartphone,6,5,3.1,1,0,-1,na,1,0,1,0.3016269315272457,0
30,manager,single,grad_school,smartphone,21,7,9.5,2,0,-1,na,0,0,1,0.07627149419860912,0
81,retired,married,high_school,smartphone,27,10,6.05,1,0,-1,na,0,0,0,0.07500953280191745,1
34,industrial_worker,married,high_school,na,9,5,9.4,1,0,-1,na,0,0,1,0.07209521907286692,0
37,manager,married,grad_school,smartphone,24,2,27.6,2,10,183,success,0,0,0,0.07511847910954551,1
40,teacher,divorced,na,smartphone,7,5,43.15,1,1,293,failure,0,0,1,0.0733844170464656,0
44,manager,married,grad_school,na,13,5,5.95,1,0,-1,na,1,0,1,0.12911953225718592,0
31,unemployed,single,high_school,smartphone,4,2,36.3,1,0,-1,na,0,0,0,0.07648938681386523,1
77,retired,married,grad_school,smartphone,13,8,20.75,2,0,-1,na,0,0,0,0.07914949249178363,1
61,retired,married,grad_school,smartphone,11,8,6.45,3,1,190,success,0,0,1,0.0960180124561945,1
37,manager,single,grad_school,smartphone,1,10,6.35,1,1,119,failure,0,0,1,0.08212735823361719,1
70,retired,divorced,high_school,smartphone,15,4,3.6,1,0,-1,na,0,0,0,0.07530005628892561,1
26,entrepreneur,single,grad_school,smartphone,5,2,95.3,2,29,189,other,0,0,0,0.07938554282497776,1
31,industrial_worker,married,university,na,10,8,4.35,1,1,782,other,0,0,1,0.07280337007244929,1
27,industrial_worker,single,university,smartphone,16,8,12.75,3,4,95,success,0,0,0,0.07766055962086685,1
47,industrial_worker,married,high_school,na,12,6,2.85,4,0,-1,na,1,0,1,0.07057904962504312,0
55,housekeeper,married,university,smartphone,28,4,30.65,1,3,181,success,0,0,1,0.08153723240063189,1
34,teacher,divorced,university,smartphone,11,3,4.55,7,0,-1,na,0,0,0,0.08265393205381948,1
60,technology,married,university,smartphone,23,10,13,3,1,185,success,0,0,0,0.17198990430882646,1
28,teacher,single,university,smartphone,27,5,7.25,3,0,-1,na,0,0,0,0.07422875093058305,1
33,industrial_worker,married,university,smartphone,5,5,8.15,1,0,-1,na,0,0,1,0.07301218382873641,0
35,salesman,divorced,university,smartphone,5,2,4.65,1,1,248,failure,0,0,1,0.0767980680188114,0
52,teacher,married,university,smartphone,21,7,5.9,2,0,-1,na,0,0,0,0.08005737838868411,0
52,technology,divorced,university,smartphone,2,6,9.25,1,0,-1,na,0,0,1,0.08192762333629909,1
27,technology,single,university,na,9,7,0.65,1,0,-1,na,0,0,0,0.0758629455450039,1
51,housekeeper,married,high_school,smartphone,20,8,6.25,11,0,-1,na,0,0,0,0.10445227243839994,0
55,salesman,married,university,smartphone,5,8,17.3,1,0,-1,na,0,0,0,0.07349336335409366,0
34,technology,single,grad_school,smartphone,13,4,34.95,1,0,-1,na,0,0,1,0.0812013146187787,1
28,teacher,single,university,smartphone,15,6,2.5,1,0,-1,na,0,0,0,0.07282152779038731,0
48,industrial_worker,married,high_school,na,5,6,16.15,2,0,-1,na,0,0,1,0.07513663682748352,0
28,teacher,single,university,smartphone,18,5,2.4,6,0,-1,na,0,0,1,0.10030323388956476,0
25,salesman,single,university,smartphone,5,6,12.25,2,0,-1,na,0,0,0,0.08007553610662212,1
49,industrial_worker,single,high_school,smartphone,8,7,23.2,2,0,-1,na,0,0,0,0.08224538340021426,0
31,unemployed,divorced,high_school,na,30,5,36.75,12,0,-1,na,0,0,1,0.07280337007244929,1
49,entrepreneur,married,high_school,smartphone,18,11,22.15,1,0,-1,na,0,0,0,0.12898334937265085,1
35,manager,single,grad_school,smartphone,5,2,34.45,1,0,-1,na,0,0,0,0.09737984130154523,1
30,manager,single,grad_school,smartphone,12,8,28.4,4,0,-1,na,0,0,0,0.07341165362337261,0
29,salesman,single,university,na,4,6,28.4,1,0,-1,na,0,0,1,0.070342999291849,1
30,teacher,single,grad_school,smartphone,31,3,7.4,2,0,-1,na,0,0,0,0.07562689521180978,1
32,student,single,na,smartphone,30,3,7.85,2,0,-1,na,0,0,0,0.09387540173950938,0
47,manager,married,grad_school,smartphone,12,11,3.95,1,3,97,success,1,0,0,0.11541045521398871,1
49,entrepreneur,divorced,university,na,13,5,4.25,3,0,-1,na,0,0,1,0.07424690864852106,0
40,technology,divorced,university,smartphone,19,8,2.5,2,0,-1,na,0,0,0,0.07280337007244929,0
45,teacher,single,university,smartphone,13,4,37.2,3,6,143,failure,0,0,1,0.08139197065712782,0
36,unemployed,married,university,desktop,6,2,0.4,6,0,-1,na,0,0,1,0.07678898915984239,0
49,industrial_worker,married,high_school,smartphone,25,7,11.4,4,0,-1,na,0,0,1,0.08772901421749314,0
33,manager,married,grad_school,smartphone,5,8,54.95,2,0,-1,na,0,0,0,0.07896791531240353,1
25,teacher,single,university,smartphone,8,9,12.5,1,1,96,success,0,0,0,0.08978991520345724,1
39,manager,married,na,smartphone,15,9,9.5,1,1,183,success,0,0,0,0.07349336335409366,1
28,salesman,married,university,smartphone,8,7,87.85,2,0,-1,na,1,0,1,0.07743358814664172,1
48,manager,married,na,na,9,6,7.1,2,0,-1,na,0,0,0,0.07823252773591415,0
38,industrial_worker,married,high_school,na,19,5,10.4,1,0,-1,na,0,0,1,0.09465618361084378,0
57,salesman,married,university,na,9,6,4.8,1,0,-1,na,0,0,0,0.08338931963030886,0
59,retired,married,grad_school,smartphone,21,11,7.55,1,0,-1,na,0,0,0,0.44723367167214423,0
36,manager,married,grad_school,smartphone,7,8,4.45,4,0,-1,na,0,0,0,0.08017540355528117,0
68,retired,divorced,high_school,smartphone,14,9,19.7,2,4,91,success,0,0,0,0.09120621720262198,1
62,retired,married,university,smartphone,4,8,13.9,1,8,1,success,0,0,0,0.07796924082581301,1
